keys,en,cs_CZ,de_DE,fi_FI,es_ES,fr_FR,pl_PL,pt_PT,se_SE,eo,du_NL,ro_RO,it_IT
PRESS_ANY_KEY_TO_START,PRESS ANY KEY TO START,SPUSŤTE STISKEM LIBOVOLNÉ KLÁVESY,"Beliebige Taste drücken, um fortzufahren...",Paina mitä hyvänsä näppäintä aloittaaksesi,PULSE CUALQUIER TECLA PARA EMPEZAR,Appuyer sur une touche pour démarrer,NACIŚNIJ DOWOLNY KLAWISZ,PRIME UMA TECLA PARA COMEÇAR,Tryck på valfri knapp för att starta,Premu iun ajn klavon por komenci,Druk een toets om te starten,APASA ORICE TASTA PENTRU A INCEPE!,Premere un tasto qualsiasi per iniziare
ENTER_AN_EVENT,Enter an event,Zúčastnit se soutěže,Veranstaltungen,Osallistu tapahtumaan,Entrar en un evento,Compétition,Rozpocznij grę,Entrar num evento,Välj en tävling,Enigu eventon,Evenementen,Participa la evenimente,Concorrenza
PRACTICE,Practice,Tréning,Training,Harjoittele,Practicar,Entraînement,Ćwiczenia,Praticar,Träning,Ekzercado,Oefenen,Antrenament,Pratica
CONFIGURATION,Configuration,Nastavení,Einstellungen,Asetukset,Configuración,Configuration,Ustawienia,Configuração,Konfiguration,Agordoj,Configuratie,Setari,Configurazione
CREDITS,Credits,Poděkování,Mitwirkende,Kiitokset,Créditos,Crédits,O autorach,Créditos,Tack till,Dankoj,Credits,Atribuiri,Crediti
QUIT,Quit,Ukončit,Beenden,Lopeta,Salir,Quitter,Wyjście,Sair,Avsluta,Forlasu,Verlaten,Iesire,Smettere
SELECT_AN_EVENT,Select an event,Vyberte soutěž,Veranstaltung wählen,Valitse tapahtuma,Seleccionar un evento,Choisissez une compétition,Wybierz rozgrywki,Seleciona um evento,Välj en tävling,Elektu la eventon,Selecteer een evenenment,Selecteaza un eveniment,Scegli una concorrenza
SELECT_A_CUP,Select a cup,Vyberte pohár,Wettbewerb wählen,Valitse cup,Seleccionar una copa,Choisissez une coupe,Wybierz puchar,Seleciona uma liga,Välj ett mästerskap,Elektu la pokalon,Select een bekerwedstrijd,Selecteaza o cupa,Scegli una coppa
BACK,Back,Zpět,Zurück,Takaisin,Atrás,Retour,Wstecz,Voltar,Tillbaka,Reen,Terug,Inapoi,Indietro
CONTINUE,Continue,Pokračovat,Weiter,Jatka,Continuar,Continuer,Kontynuuj,Continuar,Fortsätt,Daŭrigu,Ga verder,Continua,Continua
YOU_CANNOT_ENTER_THIS_CUP_YET,You cannot enter this cup yet,Do tohoto poháru je třeba se teprve probojovat,Du kannst an diesem Wettbewerb noch nicht teilnehmen.,Et pääse tähän cupiin vielä,Todavía no puedes participar en esta copa,Vous ne pouvez pas encore participer à cette coupe,Jeszcze nie możesz wystartować w tym pucharze,Ainda não podes participar nesta liga,Du kan inte välja det här mästerskapet ännu,Vi ankoraŭ ne povas enigi tiun ĉi pokalon,Je kan deze bekerwedstrijd nog niet betreden,Nu poti selecta aceasta cupa deocamdata,Non puoi ancora entrare in questo coppa
HERRING,Herring:,Ryba:,Heringe:,Silakoita:,Arenques:,Harengs :,Śledzie:,Arenques:,Sillar:,Haringoj:,Haring:,Hering:,Aringhe:
TIME,Time:,Čas:,Zeit:,Aika:,Tiempo:,Temps :,Czas:,Tempo:,Tid:,Tempo:,Tijd:,Timp:,Tempo:
RACE,Race!,Jet!,Start,Laske!,¡Correr!,C'est parti !,Start!,Correr!,Tävla!,Ek!,Race!,Start,Andiamo !
SECONDS,seconds,sekund,Sekunden,sekuntia,segundos,secondes,,segundos,sekunder,sekundoj,seconden,secunde,secondi
OK,Ok,Ok,Ok,Hyväksy,OK,Valider,OK,OK,Ok,Bone,Ok,OK,Convalidare
CONGRATULATIONS_YOU_WON_THE_CUP,Congratulations! You won the cup!,Gratulujeme! Vyhráli jste pohár!,Gratulation! Du hast den Wettbewerb gewonnen!,Onnittelut! Voitit cupin!,¡Enhorabuena! ¡Has ganado la copa!,Félicitation ! Vous avez remporté cette coupe !,Wygrałeś ten puchar!,Parabéns! Venceste a liga!,Gratulerar! Du vann mästerskapet!,Gratulojn! Vi venkis la pokalon!,Proficiat! Je heb de beker gewonnen!,Felicitari! Ai castigat cupa!,Congratulazioni! Hai vinto la coppa!
YOU_HAVE_REACHED_LEVEL,You have reached level,Dosáhli jste úrovně,Du hat es geschafft. Level:,Olet saavuttanut tason,Has alcanzado el nivel,Vous avez atteint le niveau,Osiągnąłeś poziom,Alcançaste o nível,Du har nått nivå,Vi atingis nivelon,Je hebt het bekomen. Level:,Ai ajuns la nivelul,Hai raggiunto il livello
SORRY_YOU_DIDN_T_ADVANCE,"Sorry, you didn't advance","Je nám líto, ale nepokročili jste",Du hast es leider nicht geschafft.,"Pahoittelut, et edennyt","Lo siento, no has avanzado","Désolé, vous n'avez pas avancé","Niestety, nie przeszedłeś dalej","Sinto muito, ficas por aqui","Tyvärr, du avancerade inte","Bedaŭrinde, vi ne progresis","Helaas, je hebt geen vooruitgang",Din pacate nu ai avansat.,"Spiacente, non hai avanzato"
YOU_DON_T_HAVE_ANY_LIVES_LEFT,You don't have any lives left,Nezbývají vám již žádné životy,Du hast kein Leben mehr übrig.,Ei elämiä jäljellä,No te quedan vidas,Il ne vous reste plus aucune vie,Nie masz już możliwych szansz.,Não te sobra nenhuma vida,Du har inga liv kvar,Vi ne havas iun ajn vivon pli,Je hebt geen levens over,Nu mai ai vieti ramase.,Non ti rimangono vite
SELECT_A_RACE,Select a race,Vyberte závod,Rennen auswählen,Valitse kisa,Selecciona una carrera,Choisissez une course,Wybierz trasę,Seleciona uma corrida,Välj en tävling,Elektu la konkurson,Selecteer een race,Selecteaza o cursa,Scegli una gara
FAILED_1_TUXLIVE,"Failed, -1 Tuxlive","Neúspěch, -1 Tuxův život","Nicht geschafft, -1 Leben.","Epäonnistunut yritys, -1 elämä","Fallado, -1 vida","Raté, -1 Tuxvie","Porażka, -1 życie","Retido, -1 vida","Misslyckades, -1 Tuxliv","Malsukceso, -1 vivo","Gefaald, -1 leven.","Esec, -1 viata.","Fallito, -1 Tuxvita"
SUCCESS_0_TUXLIVE,"Success, +/- 0 Tuxlive","Úspěch, +/- 0 Tuxových životů","Geschafft, +/- 0 Leben.","Hyväksytty, +/- 0 elämä",Conseguido,"Réussi, +/- 0 Tuxvie","Sukces, +/- 0 żyć",Passado,"Lyckades, +/- 0 Tuxliv","Sukceso, +/- 0 vivo","Geslaagd, +/- 0 leven.","Succes, +/- 0 viata.","Riuscito, +/- 0 Tuxvita"
SUCCESS_1_TUXLIVE,"Success, +1 Tuxlive","Úspěch, +1 Tuxův život","Geschafft, + 1 Leben.","Hyväksytty, +1 elämä","Conseguido, +1 vida","Réussi, +1 Tuxvie","Sukces, +1 żyć","Passado, +1 vida","Lyckades, +1 Tuxliv","Sukceso, +1 vivo","Geslaagd, + 1 leven.","Succes, + 1 viata.","Riuscito, +1 Tuxvita"
SUCCESS_2_TUXLIVE,"Success, +2 Tuxlive","Úspěch, +2 Tuxovy životy","Geschafft, + 2 Leben.","Hyväksytty, +2 elämää","Conseguido, +2 vidas","Réussi, +2 Tuxvie","Sukces, +2 życia","Passado, +2 vidas","Lyckades, +2 Tuxliv","Sukceso, +2 vivoj","Geslaagd, + 2 levens.","Succes, + 2 vieti.","Riuscito, +2 Tuxvita"
RACE_ABORTED,Race aborted,Závod přerušen,Rennen abgebrochen.,Kisa keskeytetty,Carrera abortada,Course annulée,Wyścig przerwany,Corrida abortada,Lopp avbröts,Konkurso abortigita,Race onderbroken,Cursa anulata,Gara interrotta
SCORE,Score:,Skóre:,Wertung:,Tulos:,Puntuación:,Score :,Wynik:,Pontuação:,Ställning:,Poentaro:,Score:,Scor:,Punteggio:
POINTS,points,bodů,Punkte,pisteet,puntos,points,pkt,pontos,poäng,poentoj,punten,punctaj,punti
CANCEL,Cancel,Zrušit,Abbrechen,Peru,Cancelar,Annuler,Anuluj,Cancelar,Avbryt,Abolu,Annuleren,Anulare,Annulla
LOADING,Loading,Načítání,Lade,Ladataan,Cargando,Chargement,Ładowanie,A carregar,Läser in,Ŝargante,Laden,Incarcare...,Caricamento
PLEASE_WAIT,Please wait...,Čekejte…,Bitte warten...,Odota...,"Por favor, espera...",Veuillez patienter...,Proszę Czekać...,"Por favor, aguarda...",Vänligen vänta...,Bonvolu atendi...,Wacht ajb...,Te rog asteapta...,Per favore aspetta...
FULLSCREEN,Fullscreen:,Na celou obrazovku:,Vollbild:,Kokoruututila:,Pantalla completa:,Plein écran :,Pełny ekran:,Ecrã inteiro:,Helskärm:,Plen-ekrane:,Volledig scherm:,Pe tot ecranul:,Schermo intero:
RESOLUTION,Resolution:,Rozlišení:,Auflösung:,Tarkkuus:,Resolución:,Résolution :,Rozdzielczość:,Resolução:,Upplösning:,Distingivo:,Resolutie:,Rezolutie:,Risoluzione:
MUSIC_VOLUME,Music volume:,Hlasitost hudby:,Musiklautstärke:,Musiikin voimakkuus:,Volumen de música:,Volume musique :,Głośność muzyki:,Volume da música:,Musikvolym:,Laŭteco de muziko:,Muziek volume:,Volum muzica:,Volume musica:
SOUND_VOLUME,Sound volume:,Hlasitost zvukových efektů:,Geräuschlautstärke:,Äänien voimakkuus:,Volumen de sonido:,Volume son :,Głośność dźwięków:,Volume dos sons:,Ljudvolym:,Laŭteco de sonoj:,Geluid volume:,Volum sunet:,Volume suono:
LANGUAGE,Language:,Jazyk:,Sprache:,Kieli:,Idioma:,Langue :,Język:,Idioma:,Språk:,Lingvo:,Taal:,Limba:,Lingua:
LEVEL_OF_DETAIL,Level of detail:,Úroveň podrobností:,Darstellung:,Yksityiskohtien taso:,Nivel de detalle:,Niveau de détail :,Poziom szczegółów:,Nível de detalhe:,Detaljnivå:,Detal-nivelo:,Niveau van detail:,Nivelul detaliilor:,Livello di dettaglio:
CONTRIBUTED_BY,Contributed by:,Autor:,Autor:,Oikeuksien antaja:,Creado por:,Auteur :,Stworzona przez:,Criado por:,Bidrog med:,Kunaŭtoroj:,Bijgedragen door:,Contribuit de:,Autore:
EVENT,Event:,Soutěž:,Veranstaltung:,Tapahtuma:,Evento:,Compétition :,Rozgrywki:,Evento:,Tävling:,Evento:,Evenement:,Eveniment:,Concorrenza:
CUP,Cup:,Pohár:,Wettbewerb:,Cup:,Copa:,Coupe,Puchar:,Liga:,Mästerskap:,Pokalo:,Beker:,Cupa:,Coppa:
RACE_OVER,Race Over,Závod skončil,Rennen vorbei,Kisa ohi,Fin de la carrera,Course terminée,Koniec wyścigu,Corrida Terminada,Loppet är över,Fino de konkurso,Race voorbij,Sfarsitul cursei,Gara Terminata
FOR_MORE_CONFIGURATION_OPTIONS_PLEASE_EDIT_THE,"For more configuration options, please edit the",Další možnosti nastavení naleznete při upravování,Für weitere Einstellungen bearbeite bitte die,Muita asetuksia voit muuttaa,"Para más opciones de configuración, por favor edita","Pour plus d'options de configuration, veuillez modifier le",Zaawansowane opcje konfiguracji znajdują się w,"Para mais opções de configuração, por favor edita","För fler konfigurationsalternativ, redigera",Pli da agordoj oni povas redakti en dosiero,"Voor meer configuratieopties, ajb, bewerk het","Pentru mai multe optiuni, editati manual","Per più opzioni di configurazione, si prega di modificare il"
FILE_OPTIONS_TXT_AND_READ_THE_DOCUMENTATION,file 'options.txt' and read the documentation.,souboru options.txt a čtením dokumentace.,Datei 'options.txt' und lies die Dokumentation.,tiedostosta 'options.txt',el archivo 'options.txt' y lee la documentación.,fichier « options.txt » et lire la documentation.,pliku 'options.txt' - szczegóły w dokumentacji,o ficheiro 'options.txt' e lê a documentação.,filen 'options.txt' och läs dokumentationen.,"'options.txt', bonvolu legi la dokumentaron.",bestand 'options.txt' en lees de documentatie.,fisierul 'options.txt' si cititi documentatia.,documento «options.txt» e leggi la documentazione.
HELP,Help,Nápověda,Hilfe,Apua,Ayuda,Aide,Pomoc,Ajuda,Hjälp,Helpu,Help,Ajutor,Aiuto
1_2_3_CHANGE_VIEW_MODE,"1, 2, 3 - change view mode","1, 2, 3 – změna pohledu","1, 2, 3 - Wechsel der Ansicht","1, 2, 3 - Vaihda kuvakulmaa","1, 2, 3 - cambiar punto de vista","1, 2, 3 - changement de perspective","1, 2, 3 - zmiana trybu kamery","1, 2, 3 - alterar câmara","1, 2, 3 - ändra visningsläge","1, 2, 3 - ŝanĝu la ekran-modon","1, 2, 3 - verander de schermmode","1, 2, 3 - schimba unghiul camerei","1, 2, 3 - cambia di prospettiva"
F_HIDE_SHOW_FPS_DISPLAY,F - hide/show fps display,F – zobrazit/skrýt počet vykreslovaných snímků za sekundu,F - Fps-Anzeige,F - Näytä/kätke ruudun päivitysnopeuden näyttö,F - mostrar/ocultar fotogramas por segundo,F - cache/affiche affichage I.P.S.,F - pokaż/ukryj FPS,F - mostrar/ocultar info de FPS,F - visa/dölj fps-skärm,F - mal/montru kadroj per sekundo,F - toon/verberg fps van scherm,F - Ascunde/Arata Cadrele pe secunda (FPS),F - nascondi/mostra il indicatore degli fotogrammi per secondo (fps)
H_HIDE_SHOW_HUD_DISPLAY,H - hide/show hud display,H – zobrazit/skrýt průhledový displej,H - Hud-Anzeige,H - Näytä/kätke HUD,H - mostrar/ocultar información en pantalla,H - cache/affiche affichage I.H.M.,H - pokaż/ukry HUD,H - mostrar/ocultar info do jogo,H - visa/dölj hud-skärm,H - mal/montru datenojn je ekrano,F - toon/verberg fps van scherm,H - Ascunde/Arata HUD-ul,H - nascondi/mostra l'interfaccia
S_SCREENSHOT,S - screenshot,C – pořízení snímku obrazovky,C - Screenshot,C - Ruutukaappaus,C - captura de pantalla,C - capture d'écran,C - zrzut ekranu,C - captura de ecrã,C - skärmdump,C - ekrankopio,C - screenshot,C - Captura de ecran,C - cattura schermo
U_TOGGLE_UI_SNOW,U - toggle ui snow,U – vyp/zap sníh v uživatelském rozhraní,U - Schnee auf Menübildschirmen,U - Poista/palauta käyttöliittymän lumisade,activar/desactivar nieve,U - bascule neige iu,U - włącz/wyłącz śnieg,U - ativar/desativar neve (menus),U - växla snö för gränssnittet,U - ĉu neĝo en uzul-interfaco,U - aan/uitschakelaar gebruikersinterface sneeuw,U - Ascunde/Arata fulgii de nea in meniu,U - attiva neve iu
P_SET_PAUSE_MODE,P - set pause mode,P – pauza,P - Pause-Modus,P - Taukotila,pausa,P - active mode pause,P - pauza,P - entrar em Pausa,P - pausläge,P - paŭzo,P - zet op pauze,P - pauza,P - attivare la modalità pausa
T_TRICK,T - trick,trik T – trik,T - Tricks,T - Temppu,T - pirueta,T - figure acrobatique,T - triki,T - pirueta,T - trick,T - artifiko,T - truc,T - truc,T - figura acrobatica
ESC_ABORT_RACE,ESC - abort Race,ESC – přerušit závod,ESC - Rennen abbrechen,ESC - Keskeytä kisa,ESC - abortar carrera,ÉCHAP - annule course,ESC - przerwij wyścig,ESC - abortar Corrida,ESC - avbryt lopp,Esc - abortigu la konkurson,ESC - verlaat Race,ESC - iesire cursa,ESC - interrompere gara
SPACE_JUMP,SPACE - jump,Mezerník – skok,Leertaste - Sprung,Välilyönti - Hyppää,Espacio - saltar,ESPACE - sauter,SPACJA - skok,ESPAÇO - saltar,Mellanslag - hoppa,Spaco - saltu,SPACE - spring,SPATIU - saritura,SPAZIO - saltare
CRSR_LEFT_TURN_LEFT,CRSR Left - turn left,Šipka vlevo – zatočit vlevo,Pfeil links - nach links steuern,Vasen nuolinäppäin tai A - Käänny vasemmalle,Izquierda - girar a la izquierda,CURSEUR Gauche - tourne à gauche,STRZAŁKA w lewo - skręt w lewo,SETA Esquerda - virar à esquerda,Vänstermarkör - sväng vänster,Sago maldekstren - turnu maldekstren,Pijl Left - draai links,Tasta stanga - vireaza la stanga,CURSORE Sinistra - gira a sinistra
